CPE,PC1,PC2,cluster
I21JC029333H,-6.257593804601081,1.1958459861937532,0
I21JC029335J,-11.38484819171925,1.087778356771126,0
I21JC029336K,-6.782437720263657,0.6254815368298938,0
I21JC029361L,-6.00777366520704,-1.3412516464228135,0
I21JC029405G,-31.32843259391624,6.589704164792214,0
I21JC029465S,-5.395479407020868,-0.6099849492448154,0
I21JC029553R,-1.7568430898857266,-2.225085255059799,0
I21JC029600H,-1.2144943768630747,1.3881131949961525,0
I21JC029635S,-7.117030950102087,0.4313724397523872,0
I21JC029765B,-6.87797992349715,1.049126392670292,0
I21JC037657V,-1.9655243616133966,-0.7457076349662184,0
I21JC037658W,0.519444503137204,-2.3613740239527505,0
I21JC037659X,-6.851501318108876,-1.6023137605761897,0
I21JC037660Q,-10.540313311971557,1.342941731830937,0
I21JC037663T,-4.172221427365896,-0.2912272945641678,0
I21JC043488L,-3.926934891439694,0.41866197152343093,0
I21JC043489M,0.4467699193107211,-1.4837840311335329,0
I21JC043490F,0.22867997068854715,-0.5317418175344343,0
I21JC043496L,9.290480057194126,-12.487102742470352,1
I21JE030622,-3.2525549050029983,-0.12693953859540605,0
I21LA148189,4.416925655226428,-3.088080614397244,1
I21LA152238,10.360975348648722,3.3636850573230186,1
I21LA152381,10.93097313842741,-4.268371266804199,1
I21LA173758,4.6724125289025835,8.53686880250689,1
I21LA173785,4.412888959836602,-0.6884981314308471,1
I21LA173999,-22.524191548852237,8.268563266579244,0
I21LA183439,-4.492521018381461,-0.04155304057290758,0
I21LA184421,7.4083775952276945,3.7600239727280274,1
I21LA186120,-1.7455281633084987,-1.063263402509031,0
I21LA186299,2.4112364871977707,3.254582391240776,1
I21LA186317,5.035958036856584,-4.57497339884305,1
I21LA327835,-0.3673943199985378,-5.557985383116777,0
I22JC014373Z,-13.33430635499368,-3.8587352962632147,0
I22JC094273K,-6.722397724084996,1.5907078459003203,0
I22JC094276N,-9.883913275556615,-0.8154892119154352,0
I22JC094278P,-3.529610260393827,-2.980660608314052,0
I22JC094280J,-9.184800263484497,2.3937398599046413,0
I22JC094282L,-3.5061206980701027,-2.7339309667330745,0
I22JC094285O,-1.4206613159394752,-1.7655807039208877,0
I22JC094286P,-7.563616890263381,-0.22403335806609712,0
I22JC094287Q,1.3130817647441053,1.190669754156823,0
I22LA224628,10.669692797664576,7.00786275980924,1
I22LA303495,11.84309973070256,31.637628612123255,1
I23JC095866,-4.771287145297504,-0.7266003050812753,0
I23JC095867,-7.7757399407289025,-0.2864158720043814,0
I23JC095869,-5.60995156993816,-1.8702179417227092,0
I23JC095870,-4.621229201357271,0.5035403059181525,0
I23JC095961O,0.30152826040429664,4.573961681078703,0
I23JC096059X,-6.273620208645779,0.6528701733824095,0
I23JC096060Q,-3.559083250694299,-0.5014507122931949,0
I23JC096061R,-6.308111710762189,-0.739766758749636,0
I23JC096062S,-8.015779968779869,1.4696329672794488,0
I23JC096063T,-5.5607835065311555,0.29751677615484884,0
I23JE044621,2.5029584513909984,-2.0598826312774023,0
I23LA005984,-19.56770969521422,3.0319990500074545,0
I23LA005997,6.6003394879748365,-2.677240342208633,1
I23LA009785,1.3048008729164802,0.3648810394864468,0
I23LA213007,-5.894300407339857,-0.6725101417085912,0
I23LA465873,9.330861071118475,6.801774538918941,1
I23LA547069,16.237457196207117,1.4604092680030945,1
I24LA025413,18.114891747468086,-16.580397019938527,1
I24LA025880,5.966185775259637,-7.6831126216001975,1
I24LA026648,31.865641150069727,69.61632694026832,1
I24LA028096,10.552751103781759,-1.8303829690479627,1
I24LA028098,-0.722947552069252,2.910331383542565,0
I24LA028157,13.397262575810892,-19.692156251275577,1
I24LA028258,10.756939387339933,-4.9537857216417835,1
I24LA029109,-3.1123417148603223,-1.706691693893943,0
