CPE,hora,consumo_real,veredicto,data
C18LB000167,3,0.0,normal,2026-05-01
C18LB000167,4,0.0,normal,2026-05-01
C18LB000167,5,0.0,normal,2026-05-01
C18LB000167,6,0.0,normal,2026-05-01
C18LB000167,7,0.0,normal,2026-05-01
C18LB000167,8,0.0,normal,2026-05-01
C18LB000167,9,0.0,normal,2026-05-01
C18LB000167,10,0.0,normal,2026-05-01
C18LB000167,11,0.0,normal,2026-05-01
C18LB000167,12,0.0,normal,2026-05-01
C18LB000167,13,0.0,normal,2026-05-01
C18LB000167,14,0.0,normal,2026-05-01
C18LB000167,15,0.0,normal,2026-05-01
C18LB000167,16,0.0,normal,2026-05-01
C18LB000167,17,0.0,normal,2026-05-01
C18LB000167,18,0.001,normal,2026-05-01
C18LB000167,19,0.001,normal,2026-05-01
C18LB000167,20,0.001,normal,2026-05-01
C18LB000167,21,0.0,normal,2026-05-01
C18LB000167,22,0.0,normal,2026-05-01
C18LB000167,23,0.0,normal,2026-05-01
C18LB000173,0,0.0,normal,2026-05-01
C18LB000173,1,0.0,normal,2026-05-01
C18LB000173,2,0.0,normal,2026-05-01
C18LB000173,3,0.0,normal,2026-05-01
C18LB000173,4,0.0,normal,2026-05-01
C18LB000173,5,0.0,normal,2026-05-01
C18LB000173,6,0.0,normal,2026-05-01
C18LB000173,7,0.0,normal,2026-05-01
C18LB000173,8,0.0,normal,2026-05-01
C18LB000173,9,0.0,normal,2026-05-01
C18LB000173,10,0.0,normal,2026-05-01
C18LB000173,11,0.0,normal,2026-05-01
C18LB000173,12,0.0,normal,2026-05-01
C18LB000173,13,0.0,normal,2026-05-01
C18LB000173,14,0.0,normal,2026-05-01
C18LB000173,15,0.0,normal,2026-05-01
C18LB000173,16,0.0,normal,2026-05-01
C18LB000173,17,0.0,normal,2026-05-01
C18LB000173,18,0.0,normal,2026-05-01
C18LB000173,19,0.0,normal,2026-05-01
C18LB000173,20,0.0,normal,2026-05-01
C18LB000173,21,0.0,normal,2026-05-01
C18LB000173,22,0.0,normal,2026-05-01
C18LB000173,23,0.0,normal,2026-05-01
C18SC002011N,0,0.0,normal,2026-05-01
